0,Unemployed,1000,Take those government benefits,,,
1,Scarecrow,8000,The birds. THEY FEAR ME,Standing,2,1.01
1,Factory Worker,10000,很难制造手机,Birth Control,3,1.05
1,Cleaner,12000,Don't touch my sheet,Cleaning,4,1.1
1,Plumber,15000,This job's pretty shitty if I'm being honest,Shittery,5,1.15
2,Undertaker,20000,Sometimes when I bury bodies it wasn't because I committed a crime,Undertaking,8,1.25
2,Artist,25000,I'm actually not an artist; I've been framed,Art,8,1.3
2,Nudist,30000,Stop being so clothed minded,Feet Pics,8,1.35
2,Licensed Virgin,35000,The only difference is now you get paid for it,Being yourself,8,1.4
3,Pizza Delivery Guy,50000,The better the day the less the pay,Pizza Making,10,1.5
3,Offical Bread Taster,60000,"You can't taste the bread, until you've touched the bread",Bread Baking,12,1.6
3,The Milkman,70000,"I am the milkman, my milk is delicious",Milk Shaking,14,1.7
3,Ass Waxer,80000,"Feel the ass, wax the ass",Ass Quaking,16,1.8
4,Professional Redditor,100000,"Although life is tough, remember that it's not worth living",Obesity,18,2
4,Discord Mod,110000,You're not a pedo 'til you're charged,Simping,18,2.15
4,Cocaine Man,140000,"They confused my job, I sell propane",Selling Propane,18,2.35
4,Propane Man,150000,"They confused my job, I sell cocaine",Selling Cocaine,18,2.5
5,Psychic,200000,Professional four-chin teller,Bullshitting,22,2.7
5,Loan Shark,250000,Suprisingly I still get debt,Baiting,24,2.9
5,Sociopath,300000,Feelings? Like with your fingers?,Politics,26,3.1
5,Politician,350000,"I'm not racist, I love black people, hell my best friend is black!",Sociopathy,28,3.3
6,Responsible Inheritor,500000,Your job is to 'borrow' money from your rich and dying relatives,Funding Trust,30,3.5
6,Irresponsible Inheritor,600000,Similar to responsible inheritor but with the mindset: budget funerals are the way to go!,Stealing Trust,34,4
6,Tongue Twister,700000,No one will hear your screams,Toture,38,4.5
6,Man with Lisp,800000,"Owthp, let goh oth ma tun",Pain,42,5
7,Crime Lord,900000,Even crime lords need a degree in crime lording,Crime Lording,45,6
7,Dictator,1000000,My people have freedom. Freedom to do what I tell them,Freedom,48,7
7,Literally Hitler,2000000,I was not framed,Ex-Artistry,52,8
7,Genius,5000000,"You don't have to tell me twice, no seriously don't",Smorts,56,9
8,Maze Designer,10000000,Careful not to get lost in your work,Confusion,60,10
8,Mirror Maker ,20000000,How can you not see yourself doing it,Sorcery,65,11
8,Robbed Artist ,50000000,Where did my van gogh?,Being Robbed,70,12
8,Teleporting musician,100000000,I'll be bach,Teleporting,75,13
9,Instant Noodle Chef,200000000,How much water you ask? The secret is to fill to the dotted line,Noodleing,80,14
9,Muffin Man,500000000,"I am the muffin man, I work at the muffin factory",Muffining,90,15
9,Bread Dealer,100000000,I'm the one who cooks,Baking Bread,100,16
9,Bread Loafer,200000000,I loaf bread. I knead bread.,Eating Bread,110,17
10,human,500000000,yes i am real human,human things,120,18
10,Billionare,1000000000,The description is in the job title,Becoming Rich Quik,130,19
10,Rick Roller,2000000000,Back in the golden days of the 'net...,Trolling,150,20
10,FBot Develolper,0,"It's a lot of work, but look how far we've come",Clicky-Clacky Keyboard Pressing,150,20
